rank,github_handle,commits
1,steipete,15177
2,vincentkoc,7785
3,shakkernerd,2369
4,obviyus,800
5,github-actions[bot],768
6,joshavant,705
7,RomneyDa,488
8,claude,449
9,clawsweeper[bot],287
10,Alix-007,254
11,fuller-stack-dev,241
12,giodl73-repo,219
13,zhangguiping-xydt,205
14,Takhoffman,199
15,jalehman,144
16,mushuiyu886,128
17,Patrick-Erichsen,123
18,pgondhi987,118
19,yetval,114
20,ZengWen-DT,113
21,openclaw-clownfish[bot],108
22,IWhatsskill,102
23,qingminglong,96
24,TurboTheTurtle,87
25,vyctorbrzezowski,85
26,hugenshen,84
27,jesse-merhi,80
28,masatohoshino,79
29,zenglingbiao,78
30,cursoragent,74
31,Pick-cat,74
32,cxbAsDev,74
