github_handle,name,linkedin_url
steipete,Peter Steinberger,https://www.linkedin.com/in/steipete
vincentkoc,Vincent Koc,https://www.linkedin.com/in/koconder/
shakkernerd,Shakker,
obviyus,Ayaan Zaidi,
github-actions[bot],GitHub Actions (bot),
joshavant,Josh Avant,https://linkedin.com/in/joshavant
RomneyDa,Dallin Romney,
claude,Claude (bot),
clawsweeper[bot],Clawsweeper (bot),
Alix-007,,
fuller-stack-dev,Jason (Json),
giodl73-repo,Gio Della-Libera,https://www.linkedin.com/in/giodl/
zhangguiping-xydt,xingzhou,
Takhoffman,Tak Hoffman,
jalehman,Josh Lehman,
ampagent,Amp (bot),
mushuiyu886,,
Patrick-Erichsen,Patrick Erichsen,https://www.linkedin.com/in/patrick-erichsen/
pgondhi987,Pavan Kumar Gondhi,
yetval,Yuval Dinodia,https://www.linkedin.com/in/yuval-dinodia/
ZengWen-DT,Wynne668,
openclaw-clownfish[bot],Openclaw Clownfish (bot),
IWhatsskill,WhatsSkiLL,
qingminglong,qingminlong,
vyctorbrzezowski,Vyctor H. Brzezowski,https://www.linkedin.com/in/brzezowski/
TurboTheTurtle,Andy Ye,
hugenshen,NIO,
jesse-merhi,Jesse Merhi,https://www.linkedin.com/in/jesse-merhi/
masatohoshino,Masato Hoshino,
zenglingbiao,zengLingbiao,
